ticker,cik,company,sic_code,sic_description,target_sector
CBUS,1705843,"Cibus, Inc.",2870,Agricultural Chemicals,Manufacturing
ZHJD,1794276,Intelligent Hotel Group Ltd.,2870,Agricultural Chemicals,Manufacturing
SMID,924719,SMITH MIDLAND CORP,3272,"Concrete Products, Except Block & Brick",Manufacturing
EML,31107,EASTERN CO,3420,"Cutlery, Handtools & General Hardware",Manufacturing
HURC,315374,HURCO COMPANIES INC,3823,"Industrial Instruments For Measurement, Display, and Control",Manufacturing
EMPG,2005569,Empro Group Inc.,2844,"Perfumes, Cosmetics & Other Toilet Preparations",Manufacturing
OCC,1000230,OPTICAL CABLE CORP,3357,Drawing & Insulating of  Nonferrous Wire,Manufacturing
WRAP,1702924,"WRAP TECHNOLOGIES, INC.",3480,"Ordnance & Accessories, (No Vehicles/Guided Missiles)",Manufacturing
ACNT,95953,ASCENT INDUSTRIES CO.,2800,Chemicals & Allied Products,Manufacturing
VATE,1006837,INNOVATE Corp.,3440,Fabricated Structural Metal Products,Manufacturing
GPRO,1500435,"GoPro, Inc.",3861,Photographic Equipment & Supplies,Manufacturing
BOOM,34067,DMC Global Inc.,3390,Miscellaneous Primary Metal Products,Manufacturing
SEER,1726445,"Seer, Inc.",3826,Laboratory Analytical Instruments,Manufacturing
BRLT,1866757,"Brilliant Earth Group, Inc.",3910,"Jewelry, Silverware & Plated Ware",Manufacturing
ZJK,1941506,"ZJK Industrial Co., Ltd.",3452,"Bolts, Nuts, Screws, Rivets & Washers",Manufacturing
KBLB,1413119,"Kraig Biocraft Laboratories, Inc.",2820,"Plastic Material, Synth Resin/Rubber, Cellulos (No Glass)",Manufacturing
VRA,1495320,"Vera Bradley, Inc.",3100,Leather & Leather Products,Manufacturing
AMTX,738214,"AEMETIS, INC",2860,Industrial Organic Chemicals,Manufacturing
CODA,1334325,"Coda Octopus Group, Inc.",3812,"Search, Detection, Navigation, Guidance, Aeronautical Sys",Manufacturing
JELD,1674335,"JELD-WEN Holding, Inc.",2430,"Millwood, Veneer, Plywood, & Structural Wood Members",Manufacturing
KEQU,55529,KEWAUNEE SCIENTIFIC CORP /DE/,3821,Laboratory Apparatus & Furniture,Manufacturing
BWEN,1120370,"BROADWIND, INC.",3360,Nonferrous Foundries (Castings),Manufacturing
LUD,1984124,Luda Technology Group Ltd,3317,Steel Pipe & Tubes,Manufacturing
RPID,1380106,"RAPID MICRO BIOSYSTEMS, INC.",3826,Laboratory Analytical Instruments,Manufacturing
ARQ,1515156,"Arq, Inc.",2890,Miscellaneous Chemical Products,Manufacturing
GEOS,1001115,GEOSPACE TECHNOLOGIES CORP,3829,"Measuring & Controlling Devices, NEC",Manufacturing
NOBH,72205,NOBILITY HOMES INC,2451,Mobile Homes,Manufacturing
CPSH,814676,CPS TECHNOLOGIES CORP/DE/,3260,Pottery & Related Products,Manufacturing
OPXS,1397016,Optex Systems Holdings Inc,3827,Optical Instruments & Lenses,Manufacturing
ZKIN,1687451,"ZK International Group Co., Ltd.",3490,Miscellaneous Fabricated Metal Products,Manufacturing
CSTE,1504379,Caesarstone Ltd.,3281,Cut Stone & Stone Products,Manufacturing
NTIC,875582,NORTHERN TECHNOLOGIES INTERNATIONAL CORP,3470,"Coating, Engraving & Allied Services",Manufacturing
AVD,5981,AMERICAN VANGUARD CORP,2870,Agricultural Chemicals,Manufacturing
FSI,1069394,FLEXIBLE SOLUTIONS INTERNATIONAL INC,2890,Miscellaneous Chemical Products,Manufacturing
LNZA,1843724,"LanzaTech Global, Inc.",2860,Industrial Organic Chemicals,Manufacturing
APWC,1026980,ASIA PACIFIC WIRE & CABLE CORP LTD,3357,Drawing & Insulating of  Nonferrous Wire,Manufacturing
ZTEK,1904501,Zentek Ltd.,2890,Miscellaneous Chemical Products,Manufacturing
BFNH,1310488,"BIOFORCE NANOSCIENCES HOLDINGS, INC.",3826,Laboratory Analytical Instruments,Manufacturing
DSWL,946936,DESWELL INDUSTRIES INC,3089,"Plastics Products, NEC",Manufacturing
BCHT,728385,Birchtech Corp.,3829,"Measuring & Controlling Devices, NEC",Manufacturing
VGAS,1841425,"Verde Clean Fuels, Inc.",2860,Industrial Organic Chemicals,Manufacturing
MIND,926423,"MIND TECHNOLOGY, INC",3812,"Search, Detection, Navigation, Guidance, Aeronautical Sys",Manufacturing
SYPR,864240,SYPRIS SOLUTIONS INC,3823,"Industrial Instruments For Measurement, Display, and Control",Manufacturing
SLSN,883107,"SOLESENCE, INC.",2844,"Perfumes, Cosmetics & Other Toilet Preparations",Manufacturing
TPCS,1328792,TECHPRECISION CORP,3440,Fabricated Structural Metal Products,Manufacturing
TGE,2053456,Generation Essentials Group,2721,Periodicals: Publishing or  Publishing & Printing,Manufacturing
AIOS,1603993,AIOS Tech Inc.,3490,Miscellaneous Fabricated Metal Products,Manufacturing
PRPO,1043961,"Precipio, Inc.",3826,Laboratory Analytical Instruments,Manufacturing
AXIL,1718500,"Axil Brands, Inc.",2844,"Perfumes, Cosmetics & Other Toilet Preparations",Manufacturing
MERC,1333274,MERCER INTERNATIONAL INC.,2611,Pulp Mills,Manufacturing
LOOP,1504678,"Loop Industries, Inc.",2800,Chemicals & Allied Products,Manufacturing
INIS,1038277,RADNOSTIX INC,3823,"Industrial Instruments For Measurement, Display, and Control",Manufacturing
DAIO,351998,DATA I/O CORP,3825,Instruments For Meas & Testing of  Electricity & Elec Signals,Manufacturing
BIOF,1549145,"BLUE BIOFUELS, INC.",2860,Industrial Organic Chemicals,Manufacturing
VTSI,1085243,"VirTra, Inc",3990,Miscellaneous Manufacturing Industries,Manufacturing
BLGO,880242,"BIOLARGO, INC.",2800,Chemicals & Allied Products,Manufacturing
UG,101295,UNITED GUARDIAN INC,2844,"Perfumes, Cosmetics & Other Toilet Preparations",Manufacturing
QTZM,1663038,Quantum Genesis AI Corp.,2860,Industrial Organic Chemicals,Manufacturing
HBIO,1123494,HARVARD BIOSCIENCE INC,3826,Laboratory Analytical Instruments,Manufacturing
ELSE,351789,ELECTRO SENSORS INC,3823,"Industrial Instruments For Measurement, Display, and Control",Manufacturing
RETO,1687277,"ReTo Eco-Solutions, Inc.",3290,"Abrasive, Asbestos & Misc Nonmetallic Mineral Prods",Manufacturing
CLIR,1434524,ClearSign Technologies Corp,3823,"Industrial Instruments For Measurement, Display, and Control",Manufacturing
DETX,1919776,"LIBERTY DEFENSE HOLDINGS, LTD.",3812,"Search, Detection, Navigation, Guidance, Aeronautical Sys",Manufacturing
BIOX,1769484,Bioceres Crop Solutions Corp.,2870,Agricultural Chemicals,Manufacturing
TLF,909724,TANDY LEATHER FACTORY INC,3100,Leather & Leather Products,Manufacturing
